"name";"description";"category";"price";"imageURL"
"Dream of my Life";"A collection of Roses, Gerbera, Eustoma, Asther and Sweet William";"Birthday";180.0;"images/Floral Arrangement/Birth01.jpg"
"Beauty in a Box";"A collection of Roses, Orchid, Spray roses, Babr's breath, Hypericum & Pinpar leaves";"Birthday";120.0;"images/Floral Arrangement/Birth02.jpg"
"Path of Joys";"A collection of Gerbera, Chrysatimum, Sweet william and Bear grass";"Birthday";120.0;"images/Floral Arrangement/Birth03.jpg"
"Bouquet of Dreams";"A collection of Roses, Spray roses, Eustoma and Delphinium";"Birthday";150.0;"images/Floral Arrangement/Birth04.jpg"
"Pots of Gold & Luck";"A collection of Gerbera, White rose, Japanese Bamboo leaves and Limonium";"Birthday";120.0;"images/Floral Arrangement/Birth05.jpg"
"Sparkling Joys";"A collection of Roses, Limonium, Eustoma, Baby's breath and Carnation";"Birthday";180.0;"images/Floral Arrangement/Birth06.jpg"
"Cherished Love";"A collection of Roses, Sweet william and Eucalyptus seeds";"Anniversary";220.0;"images/Floral Arrangement/Anniver01.jpg"
"Flowing Passion";"A collection of Purple Carnation, Eucalyptus seed, Baby's breath,";"Anniversary";280.0;"images/Floral Arrangement/Anniver02.jpg"
"Overtures of Love";"A collection of Rose petals, Euclayptus seeds";"Anniversary";250.0;"images/Floral Arrangement/Anniver03.jpg"
"Loving Memories";"A collection of Orange Rose, White Eustoma, Wax flowers and Husk";"Anniversary";180.0;"images/Floral Arrangement/Anniver04.jpg"
"From the Garden";"A collection of Roses, Leucospermum, Hypericum, Lilac and Pinpar leaves";"Anniversary";300.0;"images/Floral Arrangement/Anniver05.jpg"
"Everlasting Love";"A collection of Red Rose, Pink Eustoma and Ruscus leaves";"Anniversary";220.0;"images/Floral Arrangement/Anniver06.jpg"
"Vivid Success";"A collection of Anthurium, Carnation, Eustoma, Wax flower";"Congratulatory";250.0;"images/Floral Arrangement/Congrat01.jpg"
"Starburst";"A collection of Roses, Iris, Daisy, Sweet William and Snake Bar";"Congratulatory";280.0;"images/Floral Arrangement/Congrat02.jpg"
"Pink in Perfection";"A collection of mixed Carnation, Eustoma, Pinpar leave & Sweet William";"Congratulatory";220.0;"images/Floral Arrangement/Congrat03.jpg"
"Blooming Marvellous";"A collection of Roses, Gerbera, Pincushion, Yellow Palm leave, Illex and Eustoma";"Congratulatory";380.0;"images/Floral Arrangement/Congrat04.jpg"
"Sweet Success";"A collection of Roses, Leucospermum, Tulip, Eupatorium and Eggs shell";"Congratulatory";250.0;"images/Floral Arrangement/Congrat05.jpg"
"Brightest Star";"A collection of Hypericum, Song of India, Gold Phoenix, Roses, Limonium and Yellow Palm leaf";"Congratulatory";380.0;"images/Floral Arrangement/Congrat07.jpg"
